RollNo,Gender,Math_Marks,Science_Marks,Arts_Marks,Study_Hours_Per_Week,Recommended_Stream
1471,Female,44.0,67.0,69.0,40.0,Technical
3638,Male,93.0,61.0,73.0,26.0,
1167,FEMALE,93.0,88.0,100.0,14.0,Technical
5039,Female,60.0,54.0,60.0,,Technical
5564,Male,39.0,42.0,44.0,33.0,Academic
4748,Male,36.0,,43.0,28.0,Technical
1460,Female,95.0,44.0,41.0,30.0,ACADEMIC
1199,Female,42.0,42.0,40.0,26.0,Technical
747,Male ,45.0,78.0,44.0,33.0,Technical
5381,Female,59.0,92.0,48.0,20.0,Technical
2501,Male,58.0,71.0,33.0,34.0,ACADEMIC
3098,Male,87.0,79.0,25.0,4.0,Technical
2134,Female,33.0,95.0,,17.0,Technical
175,Female,93.0,68.0,86.0,17.0,ACADEMIC
3238,,43.0,58.0,75.0,29.0,Technical 
5275,Male,76.0,40.0,50.0,27.0,Technical
1989,Female,35.0,52.0,97.0,18.0,
307,Male,88.0,79.0,69.0,34.0,Technical
1670,Male,49.0,38.0,89.0,14.0,Academic
5030,Female,72.0,58.0,77.0,33.0,Technical
1273,Female,75.0,76.0,76.0,20.0,Technical
3566,Female,86.0,99.0,53.0,25.0,Technical
466,Male,99.0,80.0,50.0,26.0,Technical
4510,Female,100.0,99.0,76.0,33.0,ACADEMIC
1368,FEMALE,40.0,91.0,36.0,37.0,Technical
4709,Female,73.0,52.0,57.0,32.0,Technical
4612,Male,47.0,52.0,93.0,23.0,Academic
1823,Male,34.0,56.0,70.0,7.0,Academic
4849,male,67.0,45.0,86.0,5.0,Technical
2280,Female,58.0,60.0,69.0,21.0,Technical
4213,Male,40.0,77.0,84.0,12.0,ACADEMIC
4413,Male,50.0,57.0,59.0,26.0,ACADEMIC
5064, Female,79.0,37.0,64.0,6.0,Technical 
5525,Male,64.0,100.0,55.0,32.0,Technical
3739,Male,79.0,50.0,49.0,39.0,Technical
1225,Female,70.0,49.0,48.0,13.0,Technical
5348,Female,31.0,43.0,69.0,34.0,Academic
3588,Male,88.0,100.0,49.0,32.0,Technical
1665,Female,38.0,87.0,29.0,38.0,ACADEMIC
2260,Female,40.0,75.0,27.0,35.0,Technical
3702,FEMALE,38.0,63.0,50.0,8.0,Technical
1599,Male,99.0,73.0,40.0,36.0,Technical
5158,Male,83.0,60.0,85.0,5.0,
606,Male,93.0,70.0,97.0,30.0,Technical
2535,Female,66.0,40.0,99.0,8.0,Academic
2764,,58.0,66.0,93.0,19.0,Technical
4815,Female,95.0,99.0,72.0,29.0,Technical
1814,Male,93.0,96.0,63.0,32.0,Technical
4757,Male ,47.0,50.0,90.0,6.0,Academic
5527, Female,64.0,58.0,79.0,21.0,Technical
2839,Female,64.0,36.0,97.0,40.0,Academic
4773,Female,34.0,74.0,54.0,17.0,Technical
4601,Female,51.0,55.0,36.0,16.0,Technical
5219,Female,36.0,36.0,40.0,4.0,Academic
4935,Female,69.0,67.0,52.0,24.0,Technical
5451,Female,54.0,75.0,100.0,10.0,Technical
908,Female,33.0,88.0,67.0,40.0,Technical 
4537,Male,77.0,,31.0,29.0,Technical
2090,FEMALE,31.0,55.0,63.0,19.0,Academic
620,FEMALE,47.0,61.0,34.0,33.0,Technical
5462,Male,48.0,71.0,93.0,38.0,Technical
218, Female,45.0,40.0,87.0,9.0,Academic
3729,Female,45.0,65.0,38.0,25.0,Technical
3572,male,41.0,51.0,,26.0,Technical
5495,Female,34.0,42.0,96.0,,Academic
2596,Male ,46.0,46.0,48.0,30.0,Technical
783,Male,43.0,78.0,25.0,8.0,
4690,Female,36.0,46.0,96.0,39.0,Academic
1849,Female,97.0,99.0,41.0,39.0,Technical
4711, Female,89.0,58.0,26.0,4.0,technical
548,Female,35.0,44.0,44.0,31.0,Academic
1514,Male,44.0,56.0,68.0,7.0,technical
3176,FEMALE,41.0,70.0,64.0,12.0,Technical
730,Male,91.0,96.0,73.0,38.0,ACADEMIC
1330,Male,81.0,63.0,94.0,4.0,Technical
3768,Male,,49.0,63.0,4.0,Technical
519,Female,51.0,78.0,40.0,16.0,Technical
2711,Female,73.0,71.0,28.0,6.0,Technical
5025,Male,57.0,60.0,63.0,12.0,technical
426,Female,74.0,39.0,74.0,7.0,Technical
5476,Female,32.0,35.0,75.0,31.0,Academic
3321,Female,80.0,82.0,31.0,23.0,Technical
1756,male,32.0,,63.0,22.0,Technical
5370,,78.0,95.0,44.0,26.0,Technical
2215,Female,72.0,96.0,83.0,29.0,Technical
5179,Male ,49.0,57.0,65.0,33.0,Technical
3731,Female,999.0,50.0,33.0,12.0,Technical
2638,Male,81.0,53.0,57.0,29.0,Technical
1800,Female,62.0,51.0,73.0,,Technical
4840,Female,30.0,95.0,90.0,39.0,Technical
481,Male,95.0,36.0,72.0,7.0,Technical
4975,male,77.0,84.0,65.0,29.0,Technical
5546,,65.0,58.0,74.0,34.0,Technical
139,,45.0,72.0,82.0,19.0,Technical
1839,Male,84.0,56.0,54.0,4.0,Technical
1986,Male,52.0,99.0,74.0,6.0,Technical
2299,Male ,89.0,49.0,79.0,15.0,Technical
3646,Male,65.0,74.0,62.0,5.0,Technical
3384,Male ,42.0,69.0,49.0,8.0,Technical
4260,male,79.0,100.0,77.0,7.0,Technical
3976,Male,79.0,44.0,83.0,39.0,Technical
3529,male,49.0,77.0,59.0,39.0,technical
3700,Female,66.0,93.0,99.0,4.0,
282,Male,87.0,86.0,32.0,15.0,Technical
1774,Female,70.0,73.0,51.0,40.0,Technical
237,Female,50.0,81.0,66.0,34.0,Technical
5226,Female,49.0,45.0,80.0,18.0,Academic
641, Female,95.0,54.0,64.0,23.0,Technical
2547,Male,51.0,79.0,57.0,7.0,Technical
1822,Male,98.0,41.0,37.0,,Technical
2537, Female,56.0,40.0,66.0,24.0,Technical
2298,FEMALE,,88.0,82.0,26.0,Technical
1988,Male,69.0,44.0,93.0,25.0,Technical
2303,Male,90.0,93.0,85.0,8.0,Technical
2282,Male,99.0,76.0,95.0,26.0,Technical
2819,Female,58.0,60.0,32.0,14.0,Technical
4102,Female,75.0,81.0,42.0,,Technical
2942,male,86.0,72.0,47.0,13.0,Technical
526,Female,55.0,64.0,56.0,34.0,Technical
1281,Female,51.0,47.0,92.0,26.0,Academic
4300,Male ,41.0,53.0,79.0,29.0,Academic
5241,Female,81.0,52.0,96.0,34.0,Technical
4875,Male,58.0,66.0,71.0,29.0,Technical
5089,Female,39.0,55.0,63.0,35.0,Academic
4970,Female,59.0,100.0,94.0,25.0,Technical
1020,Male,82.0,72.0,79.0,34.0,Technical
2835,Female,93.0,84.0,46.0,32.0,Technical
1344,Female,44.0,70.0,54.0,,Technical
3264,Male,86.0,97.0,76.0,32.0,technical
3483,Male,70.0,65.0,36.0,7.0,Technical
1087,Female,67.0,80.0,72.0,,Technical
564,Female,31.0,42.0,41.0,18.0,Academic
4625,male,50.0,62.0,94.0,29.0,Technical
5246,Female,46.0,93.0,95.0,27.0,Technical
190,Male,30.0,66.0,57.0,27.0,ACADEMIC
1680,Female,76.0,62.0,81.0,40.0,Technical
1731, Female,75.0,71.0,87.0,7.0,Technical
1882,Female,39.0,39.0,87.0,15.0,Technical 
860,Female,95.0,51.0,55.0,40.0,Technical 
1451,,95.0,51.0,50.0,7.0,Technical
3397,Female,94.0,94.0,78.0,37.0,Technical
304,Female,53.0,47.0,61.0,5.0,Technical
4482,Male,94.0,92.0,95.0,27.0,ACADEMIC
3293,Female,83.0,62.0,29.0,22.0,ACADEMIC
3993,Female,51.0,77.0,100.0,40.0,Technical
4672,Female,98.0,82.0,91.0,16.0,Technical
3744,Male,69.0,64.0,25.0,15.0,Technical
1953,Female,97.0,94.0,25.0,10.0,ACADEMIC
942,Female,32.0,88.0,98.0,25.0,Technical
1813,Female,40.0,70.0,59.0,40.0,Technical
2997,male,91.0,76.0,82.0,31.0,Technical
4203,Female,73.0,69.0,30.0,39.0,Technical 
1393, Female,95.0,68.0,79.0,36.0,Technical
2082,Female,,,70.0,30.0,Academic
5043,Male ,68.0,87.0,79.0,25.0,Technical
222,Female,76.0,36.0,34.0,15.0,Technical
2245,Male,62.0,57.0,90.0,19.0,Technical
3916,,83.0,58.0,65.0,40.0,Technical
2511,Female,72.0,93.0,61.0,38.0,Technical
761,Male,54.0,92.0,86.0,15.0,Technical
663,Male,31.0,60.0,26.0,22.0,Technical
3334,Male,91.0,62.0,53.0,31.0,Technical
4600,Male,45.0,77.0,37.0,32.0,Technical
1072,Female,,75.0,38.0,20.0,Technical
4032,Male,53.0,89.0,70.0,15.0,ACADEMIC
2317,Female,98.0,,91.0,28.0,Technical
1571,male,42.0,92.0,76.0,5.0,Technical
5562,Male,80.0,53.0,33.0,39.0,Technical
2653,Female,73.0,59.0,78.0,9.0,Technical
4506,Female,39.0,84.0,71.0,6.0,Technical
2237,Male,93.0,85.0,42.0,29.0,Technical
1698,Male ,44.0,,55.0,18.0,Technical
3088,Male,66.0,52.0,91.0,27.0,ACADEMIC
1060,Female,60.0,37.0,97.0,21.0,Academic
1692,Female,87.0,90.0,,8.0,technical
2513,Male,69.0,63.0,49.0,9.0,Technical
4369,Female,53.0,82.0,91.0,28.0,Technical 
1817,Male,78.0,35.0,45.0,33.0,Technical
2561,Female,88.0,80.0,37.0,31.0,Technical
3387,Male,65.0,50.0,57.0,29.0,Technical
2462,Male,96.0,91.0,52.0,,Technical
2931, Female,46.0,47.0,65.0,7.0,Academic
3981,Male,38.0,65.0,28.0,29.0,Technical
1622,Female,61.0,47.0,42.0,18.0,Technical
5249,Male ,77.0,70.0,64.0,18.0,technical
3592,Male ,96.0,48.0,91.0,31.0,Technical
1202,FEMALE,41.0,85.0,58.0,39.0,Technical
2652,Male ,47.0,39.0,37.0,31.0,Technical
4394,Female,36.0,48.0,49.0,22.0,Academic
3954,Female,62.0,65.0,,38.0,Technical
4180, Female,81.0,45.0,,6.0,Technical
4219,Male,32.0,46.0,71.0,6.0,Academic
607,Female,31.0,86.0,30.0,32.0,Technical
2065,Female,55.0,75.0,29.0,12.0,Technical
5066,Male,90.0,39.0,61.0,16.0,Technical
621,Female,38.0,92.0,71.0,24.0,Technical
4588,Male,62.0,36.0,100.0,27.0,Academic
3131,Male,64.0,58.0,92.0,38.0,Technical
2611,FEMALE,34.0,74.0,29.0,8.0,Technical
1343,Female,31.0,85.0,88.0,35.0,Technical
3476,Female,,62.0,41.0,6.0,Technical 
4719,Male,100.0,98.0,73.0,11.0,Technical
803,Male,78.0,48.0,,40.0,
3941,Female,46.0,51.0,59.0,32.0,Technical
5138,Female,76.0,41.0,79.0,36.0,Technical
962,Male,86.0,69.0,95.0,10.0,Technical
5024,Female,57.0,44.0,68.0,29.0,Technical
4474,Male,39.0,67.0,89.0,18.0,Academic
3698, Female,,81.0,75.0,28.0,Technical
155,Female,55.0,51.0,33.0,,Technical
1412,Female,76.0,87.0,72.0,26.0,ACADEMIC
4372,male,79.0,92.0,60.0,12.0,Technical
2705,Male,89.0,83.0,37.0,37.0,technical
2735,Female,64.0,49.0,48.0,23.0,Technical
3341,Male,43.0,54.0,36.0,,Technical
2582,Female,62.0,52.0,26.0,12.0,Technical
488,Male,82.0,48.0,49.0,25.0,Technical
2064,FEMALE,54.0,93.0,32.0,22.0,
2055,Female,77.0,73.0,75.0,20.0,ACADEMIC
3812,Female,58.0,68.0,74.0,22.0,Technical
4574,Male,47.0,48.0,86.0,28.0,Academic
361,Female,50.0,71.0,61.0,31.0,Technical
219,Female,66.0,47.0,68.0,23.0,Technical
1994,Male,86.0,60.0,34.0,23.0,Technical
1185,Female,66.0,50.0,80.0,33.0,Technical
1824,Male,48.0,84.0,71.0,11.0,Technical
231,male,91.0,88.0,97.0,40.0,Technical
3112,Male,82.0,47.0,81.0,37.0,Technical
1556,,83.0,57.0,42.0,9.0,Technical
2866,Male ,60.0,66.0,61.0,35.0,Technical
1755,male,51.0,80.0,64.0,36.0,Technical
2073,Male,78.0,86.0,85.0,6.0,Technical
2336,Female,38.0,82.0,77.0,22.0,Technical
479,Female,78.0,41.0,43.0,39.0,Technical
2556,,37.0,70.0,84.0,10.0,Technical
1217,Male,68.0,60.0,70.0,33.0,
2601,male,,97.0,,12.0,ACADEMIC
1124,Female,66.0,62.0,63.0,25.0,Technical
4809, Female,82.0,50.0,56.0,18.0,Technical
1403,Male,68.0,97.0,38.0,27.0,Technical
2425,Female,47.0,40.0,91.0,17.0,Academic
1731, Female,75.0,71.0,87.0,7.0,Technical
1628,Male,69.0,,95.0,16.0,Technical
4078,Female,77.0,41.0,74.0,26.0,Technical
3553,Female,55.0,67.0,56.0,30.0,Technical
2369,male,74.0,35.0,47.0,4.0,Technical
2319,male,55.0,88.0,66.0,12.0,Technical
988,Male,69.0,93.0,41.0,5.0,Technical
662,Male,54.0,73.0,26.0,37.0,technical
1300,Male,93.0,59.0,56.0,9.0,Technical
2391,Female,72.0,91.0,57.0,25.0,Technical
5460,Male,,44.0,53.0,10.0,Academic
259,Male ,43.0,50.0,43.0,18.0,Technical
3152,Male,60.0,78.0,100.0,5.0,Technical
2068,Male ,70.0,53.0,65.0,10.0,Technical
646,Male,66.0,63.0,81.0,35.0,Technical
1115, Female,88.0,73.0,94.0,8.0,Technical
4524,Female,69.0,63.0,27.0,34.0,Technical
1252,Female,60.0,48.0,57.0,12.0,Technical
1553,Female,66.0,90.0,58.0,38.0,Technical
1530,male,57.0,51.0,28.0,26.0,Technical
3115,Female,91.0,64.0,66.0,9.0,Technical
192,FEMALE,72.0,48.0,42.0,5.0,Technical
2847,Female,40.0,84.0,51.0,16.0,ACADEMIC
4196,Male,80.0,75.0,80.0,28.0,Technical
5189,Female,44.0,50.0,86.0,14.0,Academic
2894,Male,41.0,58.0,51.0,39.0,Technical
1706,Female,76.0,56.0,75.0,40.0,Technical 
2026,Male,94.0,39.0,25.0,20.0,Technical
665,Male,55.0,46.0,95.0,7.0,Academic
494,Female,54.0,,34.0,31.0,Technical
4014,Male ,75.0,51.0,94.0,6.0,ACADEMIC
741,Male,54.0,62.0,56.0,8.0,Technical
4407,Male,32.0,91.0,82.0,19.0,Technical
3730,Female,46.0,48.0,38.0,11.0,Technical
3914,Female,44.0,55.0,61.0,9.0,Technical
4301,Female,51.0,64.0,31.0,5.0,Technical 
2999,Male,,52.0,52.0,30.0,Technical
5557,Male,75.0,52.0,30.0,35.0,Technical
1409,Male,39.0,45.0,54.0,18.0,Academic
4915,Female,66.0,37.0,28.0,15.0,Technical
906,Female,91.0,78.0,70.0,32.0,Technical 
1246,Female,39.0,69.0,60.0,28.0,Technical
3629,,69.0,65.0,58.0,12.0,ACADEMIC
1183,Male,65.0,71.0,91.0,21.0,Technical
3535, Female,87.0,41.0,37.0,36.0,Technical
3336,male,74.0,60.0,61.0,15.0,Technical
4611,Male,72.0,62.0,50.0,29.0,Technical
2898,Female,93.0,55.0,30.0,24.0,Technical
1223,FEMALE,37.0,89.0,32.0,31.0,Technical 
5063,Male ,86.0,,26.0,19.0,Technical
2815,Male,73.0,70.0,79.0,15.0,Technical
412,Male,93.0,93.0,85.0,19.0,Technical
2385,Male,62.0,84.0,27.0,27.0,technical
1847,Male,92.0,44.0,64.0,6.0,Technical
1488,Male,89.0,38.0,40.0,36.0,Technical
5373,Male,87.0,69.0,27.0,31.0,technical
925,Female,77.0,95.0,,31.0,Technical
1059,Male ,54.0,60.0,,7.0,Technical
3153, Female,92.0,51.0,62.0,32.0,Technical
3551,Male,63.0,73.0,77.0,36.0,Technical
3679,Female,96.0,62.0,51.0,35.0,Technical
882,Female,86.0,39.0,62.0,24.0,ACADEMIC
5239,Female,67.0,76.0,,13.0,Technical
1561,Male,72.0,50.0,95.0,40.0,Technical
4988,FEMALE,62.0,,85.0,35.0,Technical
4843,Male,74.0,83.0,41.0,31.0,Technical
321,Female,88.0,84.0,89.0,10.0,Technical
861,Male,31.0,95.0,77.0,10.0,Technical
1963,Male,56.0,59.0,93.0,13.0,Technical
4831,Male,73.0,52.0,77.0,6.0,Technical
4701,Male,96.0,43.0,55.0,30.0,Technical
1455,Male,53.0,49.0,71.0,25.0,Technical
2805,Female,67.0,76.0,43.0,36.0,Technical
5539,Male,63.0,90.0,33.0,7.0,Technical
2559,FEMALE,31.0,70.0,65.0,37.0,Technical 
2504,Male,32.0,46.0,71.0,23.0,Academic
5111,Male,88.0,97.0,95.0,21.0,Technical
5022,Female,53.0,65.0,38.0,29.0,Technical
1978,Male,39.0,82.0,87.0,20.0,Technical
1859,,44.0,98.0,37.0,32.0,Technical
1401,Male,87.0,52.0,98.0,20.0,Technical
1145,FEMALE,88.0,44.0,60.0,29.0,Technical
4244,Female,58.0,47.0,97.0,10.0,Academic
2364,Male,85.0,54.0,62.0,14.0,Technical
3644, Female,73.0,41.0,76.0,38.0,Technical
1134,Male,52.0,75.0,76.0,14.0,Technical
3701,Male,75.0,84.0,38.0,34.0,Technical
1565,,,59.0,52.0,39.0,Technical 
2163,Female,69.0,46.0,78.0,,Technical
3807,Female,75.0,57.0,70.0,18.0,technical
2502,male,34.0,87.0,85.0,27.0,Technical
3816,Male,34.0,72.0,46.0,20.0,Technical
5387,FEMALE,41.0,94.0,51.0,12.0,Technical
3453,Female,65.0,,83.0,38.0,ACADEMIC
2660,Male,88.0,96.0,37.0,26.0,Technical
3484,Male,33.0,71.0,35.0,9.0,Technical
5590,Female,56.0,89.0,49.0,31.0,Technical
1009,,96.0,83.0,68.0,8.0,Technical
4921,Male,87.0,40.0,48.0,13.0,Technical
1061,Male,83.0,54.0,35.0,17.0,Technical 
3854,Female,84.0,55.0,74.0,16.0,technical
5122,male,65.0,99.0,85.0,10.0,Technical
4621,Female,69.0,94.0,,12.0,Technical
627,Male,99.0,41.0,38.0,24.0,Technical
2960,FEMALE,81.0,50.0,63.0,25.0,Technical
915,Female,40.0,61.0,69.0,5.0,Technical
864,Female,,62.0,53.0,30.0,Technical
4893,Male,80.0,42.0,36.0,21.0,Technical
2098,Male,89.0,35.0,43.0,19.0,Technical
4581,Male,79.0,93.0,86.0,35.0,Technical
1041,Male,84.0,36.0,42.0,22.0,Technical
3142,Female,69.0,51.0,68.0,24.0,Technical
339,Female,85.0,99.0,,5.0,
4743,Female,97.0,100.0,32.0,11.0,Technical
4178,FEMALE,41.0,100.0,71.0,38.0,ACADEMIC
492,Male,86.0,63.0,33.0,10.0,Technical
3903,Female,34.0,37.0,59.0,8.0,Academic
2041,Male ,30.0,42.0,,7.0,technical
2517,Male,32.0,,77.0,19.0,Technical
3325,Male,83.0,36.0,76.0,11.0,Technical
453,Female,73.0,60.0,82.0,39.0,Technical 
2919,Male,52.0,91.0,54.0,31.0,ACADEMIC
3811,Male,57.0,64.0,,4.0,Technical
1981,Female,59.0,38.0,70.0,35.0,Academic
1754,Male,94.0,86.0,26.0,24.0,Technical
3910,Male,67.0,48.0,36.0,4.0,ACADEMIC
2941,Male,71.0,78.0,,31.0,Technical
4194,Female,62.0,83.0,29.0,25.0,Technical
2012,Female,84.0,64.0,84.0,27.0,Technical
3408,Male,80.0,81.0,77.0,31.0,Technical
4808, Female,38.0,56.0,99.0,5.0,Academic
4488,Male,74.0,73.0,79.0,19.0,Technical
2472,Female,90.0,100.0,72.0,23.0,Technical
533,Female,67.0,53.0,59.0,13.0,technical
945,Male,83.0,38.0,,20.0,
4527,Male,66.0,59.0,56.0,32.0,Technical 
1107,Female,39.0,68.0,59.0,12.0,Technical
509,Female,45.0,41.0,80.0,11.0,Academic
4456,Female,92.0,65.0,95.0,7.0,technical
649,Female,40.0,81.0,32.0,17.0,technical
2205, Female,86.0,70.0,70.0,13.0,Technical
3506,Female,32.0,,70.0,39.0,ACADEMIC
1510,Female,30.0,89.0,46.0,14.0,Technical
813,Male,44.0,50.0,74.0,22.0,Academic
3422,Male,80.0,82.0,91.0,32.0,Technical
195,Female,80.0,55.0,,38.0,Technical
1127,Female,62.0,43.0,81.0,24.0,Technical
3211,FEMALE,53.0,64.0,35.0,12.0,Technical
5360,male,92.0,71.0,78.0,36.0,Technical
258,Female,60.0,81.0,69.0,36.0,Technical
1419,Male,30.0,90.0,94.0,40.0,Technical
3497,Female,92.0,81.0,56.0,10.0,Technical 
3215,male,53.0,76.0,78.0,33.0,Technical
2569,Male,61.0,75.0,64.0,8.0,Technical
2234,Female,47.0,95.0,29.0,40.0,Technical
1421,Male,31.0,61.0,88.0,11.0,Academic
150,Male ,49.0,52.0,74.0,26.0,Technical
4928,Male,87.0,88.0,87.0,21.0,Technical
4755,FEMALE,53.0,98.0,77.0,39.0,Technical
826,Female,79.0,38.0,57.0,9.0,Technical
2935,male,95.0,90.0,90.0,16.0,Technical 
1425,Female,38.0,72.0,87.0,29.0,Technical
1713,Female,45.0,43.0,50.0,,Technical
193,male,96.0,72.0,78.0,16.0,Technical
3740,,,93.0,45.0,38.0,Technical
4006,Male,77.0,60.0,66.0,16.0,Technical
3798,Female,75.0,57.0,,28.0,Technical
4723,Male,42.0,67.0,73.0,18.0,ACADEMIC
4788,Male,72.0,,60.0,13.0,Technical
4577,Male,95.0,80.0,34.0,17.0,Technical
2399,male,56.0,44.0,37.0,19.0,technical
2346,Female,76.0,51.0,43.0,8.0,Technical
4522,Female,68.0,39.0,53.0,9.0,Technical
742,Male,97.0,82.0,28.0,6.0,Technical
4807,,45.0,62.0,65.0,18.0,Technical
1031,Male,81.0,60.0,38.0,25.0,Technical
2727,Male ,51.0,38.0,51.0,28.0,Technical
2841,Male,83.0,41.0,64.0,26.0,Technical
4248,Male ,56.0,90.0,44.0,,Technical
4841,male,46.0,45.0,70.0,29.0,Academic
5575,Male,32.0,68.0,82.0,26.0,Academic
612,Male,55.0,43.0,76.0,12.0,Academic
4077,Male,56.0,82.0,74.0,18.0,Technical
1512,FEMALE,50.0,71.0,38.0,40.0,Technical
3575,Female,73.0,58.0,68.0,13.0,Technical
1873,Female,99.0,41.0,63.0,21.0,Technical
2733,Male,46.0,88.0,59.0,11.0,Technical
2975,Female,97.0,,42.0,23.0,Technical
4735,Male,96.0,,72.0,9.0,Technical
3839,Female,84.0,49.0,35.0,40.0,Technical 
589,Female,66.0,93.0,92.0,7.0,ACADEMIC
2439,Male,45.0,50.0,63.0,25.0,Technical
4298,male,55.0,39.0,31.0,9.0,Technical
3668,Female,64.0,35.0,51.0,25.0,Technical
2343,,100.0,43.0,34.0,15.0,Technical
2513,Male,69.0,63.0,49.0,9.0,Technical
2920,Male,97.0,90.0,62.0,33.0,Technical
4080,FEMALE,73.0,51.0,missing,18.0,Technical
5125,Female,63.0,92.0,100.0,33.0,Technical
1575,Male,,41.0,74.0,17.0,Academic
3341,Male,43.0,54.0,36.0,,Technical
587,Male,70.0,59.0,30.0,9.0,Technical
103,Female,60.0,60.0,53.0,17.0,ACADEMIC
3087,Male,85.0,79.0,29.0,,Technical
4135,Male,47.0,58.0,65.0,38.0,Technical
2656,,89.0,86.0,25.0,16.0,Technical
2992,Male ,90.0,44.0,53.0,14.0,Technical
296,Male,75.0,41.0,30.0,36.0,Technical 
2654,Female,56.0,90.0,49.0,23.0,Technical
3602,Female,33.0,72.0,98.0,30.0,Academic
3094,Male,41.0,69.0,63.0,21.0,Technical
5301,Male,36.0,93.0,87.0,13.0,Technical
5075,Male,97.0,48.0,70.0,6.0,Technical
1293,Male,57.0,,47.0,37.0,Technical
2848,Male,31.0,88.0,69.0,35.0,Technical
3841,Female,31.0,72.0,75.0,16.0,Technical
3550,Male,89.0,50.0,43.0,22.0,Technical
174,Female,32.0,80.0,30.0,8.0,Technical
1307,Female,,66.0,,34.0,Technical
1320,Male,65.0,,63.0,-5.0,Technical
4058,Male,63.0,49.0,84.0,38.0,Technical
4994,Male,74.0,73.0,93.0,9.0,ACADEMIC
919,Male,90.0,41.0,46.0,24.0,Technical
5157,Male,43.0,74.0,32.0,11.0,Technical
3033,Male,48.0,91.0,28.0,16.0,Technical
1255,male,65.0,92.0,60.0,27.0,Technical
4233,Female,76.0,72.0,84.0,18.0,Technical
873,Male,56.0,83.0,46.0,16.0,Technical
4593,male,44.0,93.0,27.0,19.0,Technical
3166,Male,,43.0,55.0,34.0,Technical
335,FEMALE,61.0,48.0,71.0,,Technical
1479,Male,52.0,53.0,95.0,21.0,Academic
1192,Female,53.0,90.0,34.0,32.0,Technical
4284,Male,62.0,94.0,51.0,24.0,Technical
332,Male,33.0,84.0,62.0,7.0,Technical
163,Female,82.0,92.0,27.0,20.0,Technical
652,Female,31.0,38.0,28.0,18.0,Academic
2644,Female,45.0,86.0,76.0,19.0,Technical
3381,Male,53.0,55.0,65.0,24.0,Technical
2113,Female,49.0,68.0,48.0,35.0,Technical
1861,Male,70.0,51.0,81.0,6.0,Technical
2130,Female,82.0,77.0,72.0,12.0,Technical
206,Male,65.0,51.0,28.0,17.0,Technical 
2138,male,83.0,98.0,80.0,32.0,Technical
2541, Female,80.0,47.0,30.0,18.0,Technical
5599,Female,37.0,48.0,32.0,30.0,Technical
5240,Female,77.0,84.0,,34.0,Technical
