RollNo,Gender,Math_Marks,Science_Marks,Arts_Marks,Study_Hours_Per_Week,Recommended_Stream
3566,Female,86,99,53,25,Technical
466,Male,99,80,50,26,Technical
4510,Female,100,99,76,33,Academic
1368,Female,40,91,36,37,Technical
4709,Female,73,52,57,32,Technical
4612,Male,47,52,93,23,Academic
1823,Male,34,56,70,7,Academic
4849,Male,67,45,86,5,Technical
2280,Female,58,60,69,21,Technical
4213,Male,40,77,84,12,Academic
4413,Male,50,57,59,26,Academic
5064,Female,79,37,64,6,Technical
5525,Male,64,100,55,32,Technical
3739,Male,79,50,49,39,Technical
1225,Female,70,49,48,13,Technical
5348,Female,31,43,69,34,Academic
3588,Male,88,100,49,32,Technical
1665,Female,38,87,29,38,Academic
2260,Female,40,75,27,35,Technical
3702,Female,38,63,50,8,Technical
1599,Male,99,73,40,36,Technical
606,Male,93,70,97,30,Technical
2535,Female,66,40,99,8,Academic
4815,Female,95,99,72,29,Technical
1814,Male,93,96,63,32,Technical
4757,Male,47,50,90,6,Academic
5527,Female,64,58,79,21,Technical
2839,Female,64,36,97,40,Academic
4773,Female,34,74,54,17,Technical
4601,Female,51,55,36,16,Technical
5219,Female,36,36,40,4,Academic
4935,Female,69,67,52,24,Technical
5451,Female,54,75,100,10,Technical
908,Female,33,88,67,40,Technical
4537,Male,77,68,31,29,Technical
2090,Female,31,55,63,19,Academic
620,Female,47,61,34,33,Technical
5462,Male,48,71,93,38,Technical
218,Female,45,40,87,9,Academic
3729,Female,45,65,38,25,Technical
3572,Male,41,51,62,26,Technical
5495,Female,34,42,96,22,Academic
2596,Male,46,46,48,30,Technical
4690,Female,36,46,96,39,Academic
1849,Female,97,99,41,39,Technical
4711,Female,89,58,26,4,Technical
548,Female,35,44,44,31,Academic
1514,Male,44,56,68,7,Technical
3176,Female,41,70,64,12,Technical
730,Male,91,96,73,38,Academic
1330,Male,81,63,94,4,Technical
3768,Male,66,49,63,4,Technical
519,Female,51,78,40,16,Technical
2711,Female,73,71,28,6,Technical
5025,Male,57,60,63,12,Technical
426,Female,74,39,74,7,Technical
5476,Female,32,35,75,31,Academic
3321,Female,80,82,31,23,Technical
1756,Male,32,68,63,22,Technical
2215,Female,72,96,83,29,Technical
5179,Male,49,57,65,33,Technical
2638,Male,81,53,57,29,Technical
1800,Female,62,51,73,22,Technical
4840,Female,30,95,90,39,Technical
481,Male,95,36,72,7,Technical
4975,Male,77,84,65,29,Technical
1839,Male,84,56,54,4,Technical
1986,Male,52,99,74,6,Technical
2299,Male,89,49,79,15,Technical
3646,Male,65,74,62,5,Technical
3384,Male,42,69,49,8,Technical
4260,Male,79,100,77,7,Technical
3976,Male,79,44,83,39,Technical
3529,Male,49,77,59,39,Technical
282,Male,87,86,32,15,Technical
1774,Female,70,73,51,40,Technical
237,Female,50,81,66,34,Technical
5226,Female,49,45,80,18,Academic
641,Female,95,54,64,23,Technical
2547,Male,51,79,57,7,Technical
1822,Male,98,41,37,22,Technical
2537,Female,56,40,66,24,Technical
2298,Female,66,88,82,26,Technical
1988,Male,69,44,93,25,Technical
2303,Male,90,93,85,8,Technical
2282,Male,99,76,95,26,Technical
2819,Female,58,60,32,14,Technical
4102,Female,75,81,42,22,Technical
2942,Male,86,72,47,13,Technical
526,Female,55,64,56,34,Technical
1281,Female,51,47,92,26,Academic
4300,Male,41,53,79,29,Academic
5241,Female,81,52,96,34,Technical
4875,Male,58,66,71,29,Technical
5089,Female,39,55,63,35,Academic
4970,Female,59,100,94,25,Technical
1020,Male,82,72,79,34,Technical
2835,Female,93,84,46,32,Technical
1344,Female,44,70,54,22,Technical
3264,Male,86,97,76,32,Technical
3483,Male,70,65,36,7,Technical
1087,Female,67,80,72,22,Technical
564,Female,31,42,41,18,Academic
4625,Male,50,62,94,29,Technical
5246,Female,46,93,95,27,Technical
190,Male,30,66,57,27,Academic
1680,Female,76,62,81,40,Technical
1731,Female,75,71,87,7,Technical
1882,Female,39,39,87,15,Technical
860,Female,95,51,55,40,Technical
3397,Female,94,94,78,37,Technical
304,Female,53,47,61,5,Technical
4482,Male,94,92,95,27,Academic
3293,Female,83,62,29,22,Academic
3993,Female,51,77,100,40,Technical
4672,Female,98,82,91,16,Technical
3744,Male,69,64,25,15,Technical
1953,Female,97,94,25,10,Academic
942,Female,32,88,98,25,Technical
1813,Female,40,70,59,40,Technical
2997,Male,91,76,82,31,Technical
4203,Female,73,69,30,39,Technical
1393,Female,95,68,79,36,Technical
2082,Female,66,68,70,30,Academic
5043,Male,68,87,79,25,Technical
222,Female,76,36,34,15,Technical
2245,Male,62,57,90,19,Technical
2511,Female,72,93,61,38,Technical
761,Male,54,92,86,15,Technical
663,Male,31,60,26,22,Technical
3334,Male,91,62,53,31,Technical
4600,Male,45,77,37,32,Technical
1072,Female,66,75,38,20,Technical
4032,Male,53,89,70,15,Academic
2317,Female,98,68,91,28,Technical
1571,Male,42,92,76,5,Technical
5562,Male,80,53,33,39,Technical
2653,Female,73,59,78,9,Technical
4506,Female,39,84,71,6,Technical
2237,Male,93,85,42,29,Technical
1698,Male,44,68,55,18,Technical
3088,Male,66,52,91,27,Academic
1060,Female,60,37,97,21,Academic
1692,Female,87,90,62,8,Technical
2513,Male,69,63,49,9,Technical
4369,Female,53,82,91,28,Technical
1817,Male,78,35,45,33,Technical
2561,Female,88,80,37,31,Technical
3387,Male,65,50,57,29,Technical
2462,Male,96,91,52,22,Technical
2931,Female,46,47,65,7,Academic
3981,Male,38,65,28,29,Technical
1622,Female,61,47,42,18,Technical
5249,Male,77,70,64,18,Technical
3592,Male,96,48,91,31,Technical
1202,Female,41,85,58,39,Technical
2652,Male,47,39,37,31,Technical
4394,Female,36,48,49,22,Academic
3954,Female,62,65,62,38,Technical
4180,Female,81,45,62,6,Technical
4219,Male,32,46,71,6,Academic
607,Female,31,86,30,32,Technical
2065,Female,55,75,29,12,Technical
5066,Male,90,39,61,16,Technical
621,Female,38,92,71,24,Technical
4588,Male,62,36,100,27,Academic
3131,Male,64,58,92,38,Technical
2611,Female,34,74,29,8,Technical
1343,Female,31,85,88,35,Technical
3476,Female,66,62,41,6,Technical
4719,Male,100,98,73,11,Technical
3941,Female,46,51,59,32,Technical
5138,Female,76,41,79,36,Technical
962,Male,86,69,95,10,Technical
5024,Female,57,44,68,29,Technical
4474,Male,39,67,89,18,Academic
3698,Female,66,81,75,28,Technical
155,Female,55,51,33,22,Technical
1412,Female,76,87,72,26,Academic
4372,Male,79,92,60,12,Technical
2705,Male,89,83,37,37,Technical
2735,Female,64,49,48,23,Technical
3341,Male,43,54,36,22,Technical
2582,Female,62,52,26,12,Technical
488,Male,82,48,49,25,Technical
2055,Female,77,73,75,20,Academic
3812,Female,58,68,74,22,Technical
4574,Male,47,48,86,28,Academic
361,Female,50,71,61,31,Technical
219,Female,66,47,68,23,Technical
1994,Male,86,60,34,23,Technical
1185,Female,66,50,80,33,Technical
1824,Male,48,84,71,11,Technical
231,Male,91,88,97,40,Technical
3112,Male,82,47,81,37,Technical
2866,Male,60,66,61,35,Technical
1755,Male,51,80,64,36,Technical
2073,Male,78,86,85,6,Technical
2336,Female,38,82,77,22,Technical
479,Female,78,41,43,39,Technical
2601,Male,66,97,62,12,Academic
1124,Female,66,62,63,25,Technical
4809,Female,82,50,56,18,Technical
1403,Male,68,97,38,27,Technical
2425,Female,47,40,91,17,Academic
1628,Male,69,68,95,16,Technical
4078,Female,77,41,74,26,Technical
3553,Female,55,67,56,30,Technical
2369,Male,74,35,47,4,Technical
2319,Male,55,88,66,12,Technical
988,Male,69,93,41,5,Technical
662,Male,54,73,26,37,Technical
1300,Male,93,59,56,9,Technical
2391,Female,72,91,57,25,Technical
5460,Male,66,44,53,10,Academic
259,Male,43,50,43,18,Technical
3152,Male,60,78,100,5,Technical
2068,Male,70,53,65,10,Technical
646,Male,66,63,81,35,Technical
1115,Female,88,73,94,8,Technical
4524,Female,69,63,27,34,Technical
1252,Female,60,48,57,12,Technical
1553,Female,66,90,58,38,Technical
1530,Male,57,51,28,26,Technical
3115,Female,91,64,66,9,Technical
192,Female,72,48,42,5,Technical
2847,Female,40,84,51,16,Academic
4196,Male,80,75,80,28,Technical
5189,Female,44,50,86,14,Academic
2894,Male,41,58,51,39,Technical
1706,Female,76,56,75,40,Technical
2026,Male,94,39,25,20,Technical
665,Male,55,46,95,7,Academic
494,Female,54,68,34,31,Technical
4014,Male,75,51,94,6,Academic
741,Male,54,62,56,8,Technical
4407,Male,32,91,82,19,Technical
3730,Female,46,48,38,11,Technical
3914,Female,44,55,61,9,Technical
4301,Female,51,64,31,5,Technical
2999,Male,66,52,52,30,Technical
5557,Male,75,52,30,35,Technical
1409,Male,39,45,54,18,Academic
4915,Female,66,37,28,15,Technical
906,Female,91,78,70,32,Technical
1246,Female,39,69,60,28,Technical
1183,Male,65,71,91,21,Technical
3535,Female,87,41,37,36,Technical
3336,Male,74,60,61,15,Technical
4611,Male,72,62,50,29,Technical
2898,Female,93,55,30,24,Technical
1223,Female,37,89,32,31,Technical
5063,Male,86,68,26,19,Technical
2815,Male,73,70,79,15,Technical
412,Male,93,93,85,19,Technical
2385,Male,62,84,27,27,Technical
1847,Male,92,44,64,6,Technical
1488,Male,89,38,40,36,Technical
5373,Male,87,69,27,31,Technical
925,Female,77,95,62,31,Technical
1059,Male,54,60,62,7,Technical
3153,Female,92,51,62,32,Technical
3551,Male,63,73,77,36,Technical
3679,Female,96,62,51,35,Technical
882,Female,86,39,62,24,Academic
5239,Female,67,76,62,13,Technical
1561,Male,72,50,95,40,Technical
4988,Female,62,68,85,35,Technical
4843,Male,74,83,41,31,Technical
321,Female,88,84,89,10,Technical
861,Male,31,95,77,10,Technical
1963,Male,56,59,93,13,Technical
4831,Male,73,52,77,6,Technical
4701,Male,96,43,55,30,Technical
1455,Male,53,49,71,25,Technical
2805,Female,67,76,43,36,Technical
5539,Male,63,90,33,7,Technical
2559,Female,31,70,65,37,Technical
2504,Male,32,46,71,23,Academic
5111,Male,88,97,95,21,Technical
5022,Female,53,65,38,29,Technical
1978,Male,39,82,87,20,Technical
1401,Male,87,52,98,20,Technical
1145,Female,88,44,60,29,Technical
4244,Female,58,47,97,10,Academic
2364,Male,85,54,62,14,Technical
3644,Female,73,41,76,38,Technical
1134,Male,52,75,76,14,Technical
3701,Male,75,84,38,34,Technical
2163,Female,69,46,78,22,Technical
3807,Female,75,57,70,18,Technical
2502,Male,34,87,85,27,Technical
3816,Male,34,72,46,20,Technical
5387,Female,41,94,51,12,Technical
3453,Female,65,68,83,38,Academic
2660,Male,88,96,37,26,Technical
3484,Male,33,71,35,9,Technical
5590,Female,56,89,49,31,Technical
4921,Male,87,40,48,13,Technical
1061,Male,83,54,35,17,Technical
3854,Female,84,55,74,16,Technical
5122,Male,65,99,85,10,Technical
4621,Female,69,94,62,12,Technical
627,Male,99,41,38,24,Technical
2960,Female,81,50,63,25,Technical
915,Female,40,61,69,5,Technical
864,Female,66,62,53,30,Technical
4893,Male,80,42,36,21,Technical
2098,Male,89,35,43,19,Technical
4581,Male,79,93,86,35,Technical
1041,Male,84,36,42,22,Technical
3142,Female,69,51,68,24,Technical
4743,Female,97,100,32,11,Technical
4178,Female,41,100,71,38,Academic
492,Male,86,63,33,10,Technical
3903,Female,34,37,59,8,Academic
2041,Male,30,42,62,7,Technical
2517,Male,32,68,77,19,Technical
3325,Male,83,36,76,11,Technical
453,Female,73,60,82,39,Technical
2919,Male,52,91,54,31,Academic
3811,Male,57,64,62,4,Technical
1981,Female,59,38,70,35,Academic
1754,Male,94,86,26,24,Technical
3910,Male,67,48,36,4,Academic
2941,Male,71,78,62,31,Technical
4194,Female,62,83,29,25,Technical
2012,Female,84,64,84,27,Technical
4808,Female,38,56,99,5,Academic
4488,Male,74,73,79,19,Technical
2472,Female,90,100,72,23,Technical
533,Female,67,53,59,13,Technical
4527,Male,66,59,56,32,Technical
1107,Female,39,68,59,12,Technical
509,Female,45,41,80,11,Academic
4456,Female,92,65,95,7,Technical
649,Female,40,81,32,17,Technical
2205,Female,86,70,70,13,Technical
3506,Female,32,68,70,39,Academic
1510,Female,30,89,46,14,Technical
813,Male,44,50,74,22,Academic
3422,Male,80,82,91,32,Technical
195,Female,80,55,62,38,Technical
1127,Female,62,43,81,24,Technical
3211,Female,53,64,35,12,Technical
5360,Male,92,71,78,36,Technical
258,Female,60,81,69,36,Technical
1419,Male,30,90,94,40,Technical
3497,Female,92,81,56,10,Technical
3215,Male,53,76,78,33,Technical
2569,Male,61,75,64,8,Technical
2234,Female,47,95,29,40,Technical
1421,Male,31,61,88,11,Academic
150,Male,49,52,74,26,Technical
4928,Male,87,88,87,21,Technical
4755,Female,53,98,77,39,Technical
826,Female,79,38,57,9,Technical
2935,Male,95,90,90,16,Technical
1425,Female,38,72,87,29,Technical
1713,Female,45,43,50,22,Technical
193,Male,96,72,78,16,Technical
4006,Male,77,60,66,16,Technical
3798,Female,75,57,62,28,Technical
4723,Male,42,67,73,18,Academic
4788,Male,72,68,60,13,Technical
4577,Male,95,80,34,17,Technical
2399,Male,56,44,37,19,Technical
2346,Female,76,51,43,8,Technical
4522,Female,68,39,53,9,Technical
742,Male,97,82,28,6,Technical
1031,Male,81,60,38,25,Technical
2727,Male,51,38,51,28,Technical
2841,Male,83,41,64,26,Technical
4248,Male,56,90,44,22,Technical
4841,Male,46,45,70,29,Academic
5575,Male,32,68,82,26,Academic
612,Male,55,43,76,12,Academic
4077,Male,56,82,74,18,Technical
1512,Female,50,71,38,40,Technical
3575,Female,73,58,68,13,Technical
1873,Female,99,41,63,21,Technical
2733,Male,46,88,59,11,Technical
2975,Female,97,68,42,23,Technical
4735,Male,96,68,72,9,Technical
3839,Female,84,49,35,40,Technical
589,Female,66,93,92,7,Academic
2439,Male,45,50,63,25,Technical
4298,Male,55,39,31,9,Technical
3668,Female,64,35,51,25,Technical
2920,Male,97,90,62,33,Technical
4080,Female,73,51,62,18,Technical
5125,Female,63,92,100,33,Technical
1575,Male,66,41,74,17,Academic
587,Male,70,59,30,9,Technical
103,Female,60,60,53,17,Academic
3087,Male,85,79,29,22,Technical
4135,Male,47,58,65,38,Technical
2992,Male,90,44,53,14,Technical
296,Male,75,41,30,36,Technical
2654,Female,56,90,49,23,Technical
3602,Female,33,72,98,30,Academic
3094,Male,41,69,63,21,Technical
5301,Male,36,93,87,13,Technical
5075,Male,97,48,70,6,Technical
1293,Male,57,68,47,37,Technical
2848,Male,31,88,69,35,Technical
3841,Female,31,72,75,16,Technical
3550,Male,89,50,43,22,Technical
174,Female,32,80,30,8,Technical
1307,Female,66,66,62,34,Technical
4058,Male,63,49,84,38,Technical
4994,Male,74,73,93,9,Academic
919,Male,90,41,46,24,Technical
5157,Male,43,74,32,11,Technical
3033,Male,48,91,28,16,Technical
1255,Male,65,92,60,27,Technical
4233,Female,76,72,84,18,Technical
873,Male,56,83,46,16,Technical
4593,Male,44,93,27,19,Technical
3166,Male,66,43,55,34,Technical
335,Female,61,48,71,22,Technical
1479,Male,52,53,95,21,Academic
1192,Female,53,90,34,32,Technical
4284,Male,62,94,51,24,Technical
332,Male,33,84,62,7,Technical
163,Female,82,92,27,20,Technical
652,Female,31,38,28,18,Academic
2644,Female,45,86,76,19,Technical
3381,Male,53,55,65,24,Technical
2113,Female,49,68,48,35,Technical
1861,Male,70,51,81,6,Technical
2130,Female,82,77,72,12,Technical
206,Male,65,51,28,17,Technical
2138,Male,83,98,80,32,Technical
2541,Female,80,47,30,18,Technical
5599,Female,37,48,32,30,Technical
5240,Female,77,84,62,34,Technical
2594,Male,86,65,34,22,Academic
200,Male,31,82,60,26,Technical
4192,Male,98,41,51,24,Technical
3399,Female,80,88,75,38,Technical
2688,Female,64,93,96,21,Technical
989,Male,63,52,66,37,Technical
1572,Female,44,75,39,23,Technical
4334,Female,58,47,95,14,Academic
183,Male,95,79,46,40,Technical
1752,Male,90,96,44,5,Technical
4173,Female,81,71,60,10,Technical
3149,Male,87,68,60,16,Technical
5203,Female,85,67,63,10,Technical
3897,Female,53,99,69,35,Technical
4764,Female,80,55,41,14,Technical
880,Female,47,40,80,28,Academic
3108,Female,81,43,46,11,Technical
2404,Male,47,63,83,10,Technical
4159,Female,94,99,96,24,Technical
1686,Male,33,45,72,5,Technical
1280,Female,95,61,37,33,Technical
3353,Female,86,86,93,13,Technical
737,Male,46,65,82,26,Technical
463,Male,63,49,56,8,Technical
1207,Male,42,60,92,9,Technical
4130,Male,34,87,81,34,Technical
1732,Male,85,61,93,38,Technical
4336,Male,34,45,29,40,Technical
1341,Male,39,79,98,30,Technical
5489,Male,72,40,48,6,Technical
1766,Female,34,85,54,29,Technical
3703,Male,66,36,71,7,Academic
5155,Male,53,50,94,27,Academic
4628,Female,42,84,70,26,Technical
4457,Male,77,39,57,14,Technical
3485,Male,31,49,99,14,Academic
648,Female,60,47,96,37,Academic
1645,Female,58,82,37,6,Technical
725,Female,59,80,68,25,Academic
2534,Male,83,68,77,31,Technical
2718,Male,37,80,31,9,Technical
5333,Female,66,57,35,26,Technical
2318,Female,67,68,46,4,Technical
4417,Female,49,68,34,19,Technical
4070,Male,98,74,66,21,Technical
1048,Female,60,87,29,16,Technical
1454,Male,89,49,93,28,Technical
2366,Female,37,70,86,33,Technical
505,Male,68,90,66,17,Technical
4029,Female,66,59,98,19,Technical
2514,Male,94,56,25,10,Technical
2678,Female,33,86,74,23,Technical
1083,Male,46,46,65,32,Academic
4591,Male,94,96,35,8,Technical
2435,Male,51,96,52,18,Technical
1970,Female,70,35,99,35,Academic
3530,Female,76,68,39,18,Technical
871,Male,99,66,88,26,Academic
522,Female,62,100,64,4,Technical
5359,Male,49,54,26,32,Technical
1578,Female,48,67,86,33,Technical
3479,Female,71,93,73,38,Technical
2027,Female,33,87,77,9,Technical
4187,Male,43,74,39,18,Technical
3621,Male,79,63,74,16,Technical
244,Male,60,62,30,33,Technical
678,Male,64,75,42,33,Technical
1314,Male,80,35,92,16,Technical
1536,Male,57,97,84,8,Technical
2776,Male,69,71,78,6,Technical
2441,Female,93,67,87,10,Technical
1965,Female,83,63,32,22,Technical
3208,Male,87,79,65,31,Academic
2948,Male,77,88,73,28,Technical
2059,Female,42,99,86,22,Technical
2004,Female,72,49,35,40,Technical
1583,Female,49,98,98,34,Technical
5131,Male,79,96,62,32,Technical
4010,Male,44,67,78,6,Technical
3352,Male,44,82,79,36,Technical
5080,Male,75,54,94,21,Technical
4848,Female,59,89,62,25,Technical
911,Female,57,73,81,38,Technical
419,Male,81,74,63,28,Technical
3495,Female,78,50,100,38,Technical
4265,Female,84,64,30,31,Technical
792,Male,66,81,62,22,Technical
3593,Female,67,100,75,22,Technical
4749,Female,81,87,94,10,Technical
3617,Male,77,64,86,12,Technical
4494,Male,77,94,25,38,Technical
3946,Female,66,68,62,26,Technical
1388,Male,84,57,28,15,Technical
1434,Female,38,83,90,27,Technical
5513,Female,49,44,30,38,Technical
3908,Male,54,77,52,35,Technical
972,Male,84,89,75,18,Technical
2451,Female,38,81,57,22,Technical
1238,Male,66,89,34,37,Technical
451,Male,90,54,60,28,Technical
4535,Male,60,66,80,34,Academic
3984,Male,79,49,68,5,Technical
1552,Female,31,66,82,28,Academic
1821,Male,88,64,25,19,Technical
3832,Male,63,80,87,36,Technical
5103,Female,59,90,87,7,Technical
4463,Female,55,74,52,34,Technical
5581,Female,79,97,60,11,Technical
3370,Female,45,40,77,27,Academic
3931,Male,64,71,62,33,Technical
3283,Male,53,78,39,38,Technical
2024,Male,92,98,42,8,Technical
3784,Male,34,35,62,23,Academic
4657,Female,42,50,35,22,Technical
4249,Female,44,68,78,11,Academic
1350,Female,85,35,42,28,Technical
4914,Female,35,47,65,18,Technical
3802,Female,66,35,42,7,Technical
3885,Female,89,63,44,23,Technical
1092,Male,46,68,89,22,Technical
1402,Female,83,87,52,37,Technical
3132,Male,81,82,95,14,Technical
1445,Female,66,43,53,31,Technical
3693,Female,50,37,42,19,Technical
5591,Male,77,44,98,20,Technical
1871,Male,76,44,38,24,Technical
2814,Male,97,73,72,21,Technical
4345,Male,38,43,51,5,Academic
2019,Male,100,64,84,23,Technical
5258,Female,95,85,28,22,Technical
780,Female,88,89,58,31,Technical
2723,Male,32,79,28,11,Technical
4722,Female,52,82,76,10,Technical
2734,Male,60,59,74,26,Technical
2358,Male,99,99,42,11,Technical
2147,Male,64,54,77,6,Technical
2424,Male,62,49,39,21,Technical
3863,Female,88,79,95,20,Technical
2157,Male,94,57,57,14,Technical
4013,Male,91,49,96,8,Technical
1082,Male,45,41,35,19,Technical
4762,Female,79,73,63,36,Technical
3999,Male,66,69,29,5,Technical
2348,Female,62,48,61,17,Technical
749,Female,69,58,47,14,Technical
261,Male,80,88,89,27,Technical
2159,Male,72,65,27,28,Technical
3394,Female,50,67,59,30,Technical
3677,Male,96,78,66,32,Technical
2002,Female,66,85,72,14,Technical
255,Female,57,46,76,37,Technical
1880,Female,87,47,32,14,Technical
4095,Male,84,75,69,33,Technical
3046,Male,48,37,74,9,Academic
3182,Female,41,85,91,38,Technical
3590,Male,37,62,55,37,Technical
1292,Female,41,73,98,4,Technical
4776,Female,66,67,51,23,Technical
4816,Male,40,83,59,25,Technical
3851,Female,55,68,31,26,Technical
2516,Male,48,88,59,40,Technical
503,Male,71,52,77,16,Technical
1301,Male,86,70,62,7,Technical
3296,Male,43,82,45,31,Technical
4622,Female,35,47,62,7,Academic
718,Male,50,70,62,23,Technical
4147,Male,91,44,32,4,Technical
4285,Male,50,98,37,11,Technical
3732,Female,81,59,97,18,Technical
4179,Female,91,85,30,35,Technical
429,Male,62,66,29,7,Technical
1026,Male,41,84,83,16,Technical
2051,Male,61,78,41,36,Technical
2554,Male,80,79,56,32,Technical
1827,Male,79,48,75,6,Technical
3393,Female,97,46,71,36,Technical
3069,Female,79,91,33,18,Technical
5196,Male,50,62,78,19,Technical
933,Male,56,68,43,35,Technical
374,Female,88,64,85,12,Technical
3840,Female,86,38,61,14,Academic
3155,Female,49,47,51,38,Technical
1179,Male,100,72,28,13,Technical
2149,Female,55,81,77,37,Technical
4371,Female,89,58,83,14,Technical
1744,Female,75,37,56,4,Technical
2099,Male,49,99,56,16,Technical
1742,Female,66,77,84,25,Academic
2166,Female,38,54,81,39,Academic
4960,Female,61,81,42,28,Technical
1678,Female,73,42,86,18,Technical
3746,Male,74,47,70,22,Technical
3691,Female,68,70,32,31,Technical
3350,Female,85,74,78,37,Technical
4279,Male,73,84,26,27,Technical
956,Male,62,66,100,9,Technical
1268,Male,68,68,53,25,Technical
2750,Male,84,53,99,33,Technical
2058,Male,89,58,85,5,Technical
736,Female,83,91,58,38,Technical
4515,Male,98,78,87,7,Technical
3150,Male,41,52,81,15,Academic
3136,Male,62,36,77,37,Academic
4678,Male,64,53,55,25,Technical
1850,Male,92,43,39,20,Technical
716,Female,62,90,58,7,Technical
599,Female,44,92,96,38,Technical
1729,Male,66,78,44,40,Technical
334,Male,65,90,84,20,Technical
4999,Male,66,55,71,29,Academic
2247,Female,33,89,80,8,Technical
1066,Male,76,61,62,26,Technical
717,Male,54,43,80,10,Academic
3565,Female,42,46,70,36,Technical
4168,Female,70,81,61,5,Technical
5235,Male,47,89,56,9,Technical
3288,Male,53,57,37,22,Technical
1309,Male,94,62,74,24,Technical
3632,Female,57,75,87,12,Technical
3893,Female,34,46,99,8,Academic
746,Female,36,68,75,21,Technical
3190,Male,91,75,64,4,Technical
5109,Male,75,99,59,21,Technical
4576,Male,59,62,75,30,Technical
4660,Male,64,82,68,8,Technical
3373,Female,74,85,86,39,Technical
1068,Male,67,71,70,13,Technical
142,Male,57,37,97,40,Academic
491,Female,37,98,60,16,Technical
4326,Male,99,74,69,28,Technical
2528,Female,83,51,45,12,Technical
957,Male,69,42,39,38,Technical
141,Male,64,64,48,34,Technical
1404,Female,71,87,70,36,Technical
990,Male,46,93,53,20,Technical
5478,Male,76,98,51,32,Technical
136,Female,71,49,44,9,Technical
3763,Male,67,59,44,38,Technical
4294,Female,60,80,57,12,Technical
5159,Female,35,72,34,37,Technical
1178,Male,39,100,81,5,Technical
4089,Male,61,98,33,4,Technical
2753,Male,54,70,79,8,Technical
2100,Male,79,62,43,23,Academic
4547,Female,82,44,46,37,Technical
5271,Male,66,44,59,6,Technical
3869,Male,43,74,27,28,Technical
4177,Male,56,66,92,36,Technical
974,Female,53,37,35,20,Technical
5117,Male,80,63,96,7,Technical
3275,Male,60,66,25,37,Technical
2175,Female,42,70,47,38,Technical
4209,Female,83,99,100,5,Technical
729,Male,52,42,61,17,Technical
4926,Male,95,63,47,29,Technical
4391,Female,94,45,95,11,Technical
763,Female,38,99,50,24,Technical
561,Male,84,57,98,40,Technical
3072,Female,58,72,57,15,Technical
4602,Female,47,77,59,35,Technical
5413,Female,69,68,60,40,Technical
396,Female,38,49,73,27,Academic
1385,Male,98,47,34,24,Technical
3803,Male,75,72,62,32,Technical
3866,Male,45,98,43,34,Technical
654,Male,87,36,76,22,Technical
1357,Male,79,74,69,32,Technical
4747,Female,66,88,58,33,Technical
554,Female,80,36,48,18,Technical
2684,Male,91,84,32,27,Technical
551,Female,41,48,62,39,Technical
3060,Female,62,99,35,40,Technical
4374,Female,43,90,75,17,Technical
897,Female,59,42,56,12,Technical
3354,Male,87,58,64,21,Technical
